Program+Function,NumWorkers,CPU%,Mem(MB),IO(MB/s),Time(s)
A+cpu,2,90.00,3412,0.00,1.62
A+mem,2,100.00,311124,0.00,0.65
A+io,2,0.00,13040,200.07,0.33
A+cpu,3,95.50,3856,0.00,2.47
A+mem,3,90.00,465468,0.00,0.85
A+io,3,10.00,18284,600.32,0.47
A+cpu,4,83.33,4384,0.00,3.26
A+mem,4,90.00,619736,0.08,1.16
A+io,4,30.00,23600,800.09,0.68
A+cpu,5,92.75,4820,0.02,4.02
A+mem,5,45.00,387052,0.00,1.44
A+io,5,50.00,28844,1232.09,0.91
B+cpu,2,90.00,2688,0.00,1.61
B+mem,2,90.00,309900,0.00,0.58
B+io,2,20.00,10932,198.05,0.30
B+cpu,3,95.00,2708,0.00,2.41
B+mem,3,90.00,463500,0.00,0.84
B+io,3,20.00,15028,600.07,0.49
B+cpu,4,90.30,2688,0.00,3.21
B+mem,4,90.00,617124,0.11,1.15
B+io,4,30.00,19144,800.08,0.73
B+cpu,5,92.72,2696,0.00,4.01
B+mem,5,36.35,385362,0.00,1.46
B+io,5,0.00,23256,1500.09,0.97
B+cpu,6,95.00,2728,0.10,4.78
B+mem,6,85.90,924324,0.00,1.72
B+io,6,10.00,27396,1836.22,1.18
B+cpu,7,90.36,2744,0.02,5.55
B+mem,7,90.90,1317,1.25,2.04
B+io,7,10.00,31504,1181.47,1.49
B+cpu,8,90.15,2712,0.02,6.39
B+mem,8,95.00,1309,2.13,2.28
B+io,8,30.00,35616,1000.29,1.63
