Program+Function,NumWorkers,CPU%,Mem(MB),IO(MB/s),Time(s)
A+cpu,2,88.20,2.06,0.00,1.653
A+mem,2,82.33,298.46,0.00,0.729
A+io,2,40.00,11.46,0.00,0.273
A+cpu,3,88.92,2.53,0.00,2.452
A+mem,3,73.88,435.63,0.00,1.022
A+io,3,45.05,16.62,1363.64,0.550
A+cpu,4,91.26,2.99,0.00,3.327
A+mem,4,81.64,576.53,0.00,1.317
A+io,4,33.40,22.02,1518.69,0.856
A+cpu,5,89.28,3.45,0.00,4.202
A+mem,5,73.92,719.74,0.00,1.648
A+io,5,31.10,25.64,1488.16,1.098
B+cpu,2,85.44,1.34,0.00,1.747
B+mem,2,94.13,238.81,0.00,0.666
B+io,2,37.00,9.41,1530.66,0.473
B+cpu,3,92.79,1.34,0.00,2.613
B+mem,3,74.98,294.69,0.00,1.104
B+io,3,66.00,13.44,1773.11,0.476
B+cpu,4,92.79,1.34,0.00,3.259
B+mem,4,92.88,521.33,0.00,1.327
B+io,4,37.87,17.45,1829.16,0.679
B+cpu,5,92.39,1.37,0.00,4.139
B+mem,5,84.40,660.17,0.00,1.547
B+io,5,35.90,21.46,1963.36,0.928
B+cpu,6,92.60,1.39,0.00,4.998
B+mem,6,92.46,780.54,0.00,1.977
B+io,6,52.40,25.44,1698.28,1.160
B+cpu,7,89.09,1.32,0.00,5.876
B+mem,7,91.97,954.83,0.00,2.219
B+io,7,46.01,27.28,1613.59,1.589
B+cpu,8,92.35,1.38,0.00,6.516
B+mem,8,92.23,1100.64,0.00,2.418
B+io,8,40.52,29.18,1695.36,1.806
